snapshot_date,carrier,flight,flight_date,cabin,subclass,pos_code,origin,destination,pax_Y
2012-02-01,KL,KL0409_AMSALA,2012-01-02,4,B,GB,GLA - Glasgow,SCO - Aktau,1
2012-02-01,KL,KL0409_AMSALA,2012-01-02,4,H,KZ,CDG - Charles De Gaulle,ALA - Almaty,5
2012-02-01,KL,KL0409_AMSALA,2012-01-02,4,K,KZ,CDG - Charles De Gaulle,ALA - Almaty,1
2012-02-01,KL,KL0409_AMSALA,2012-01-02,4,M,SE,CPH - Copenhagen,ALA - Almaty,1
2012-02-01,KL,KL0409_AMSALA,2012-01-02,4,N,ES,MAD - Madrid,ALA - Almaty,1
2012-02-01,KL,KL0409_AMSALA,2012-01-02,4,N,GB,ABZ - Aberdeen,ALA - Almaty,1
2012-02-01,KL,KL0409_AMSALA,2012-01-02,4,N,GB,BRS - Bristol,ALA - Almaty,1
2012-02-01,KL,KL0409_AMSALA,2012-01-02,4,N,KZ,BCN - Barcelona,ALA - Almaty,1
2012-02-01,KL,KL0409_AMSALA,2012-01-02,4,N,KZ,BRS - Bristol,ALA - Almaty,1
2012-02-01,KL,KL0409_AMSALA,2012-01-02,4,N,KZ,JFK - John F. Kennedy,ALA - Almaty,1
2012-02-01,KL,KL0409_AMSALA,2012-01-02,4,N,KZ,LAX - Los Angeles,ALA - Almaty,1
2012-02-01,KL,KL0409_AMSALA,2012-01-02,4,N,KZ,MAD - Madrid,ALA - Almaty,1
2012-02-01,KL,KL0409_AMSALA,2012-01-02,4,N,KZ,MUC - Munich,ALA - Almaty,2
2012-02-01,KL,KL0409_AMSALA,2012-01-02,4,N,KZ,MXP - Malpensa,ALA - Almaty,1
2012-02-01,KL,KL0409_AMSALA,2012-01-02,4,N,KZ,PRG - Prague,ALA - Almaty,2
2012-02-01,KL,KL0409_AMSALA,2012-01-02,4,N,US,LAX - Los Angeles,ALA - Almaty,1
2012-02-01,KL,KL0409_AMSALA,2012-01-02,4,Q,KZ,AMS - Amsterdam,ALA - Almaty,1
2012-02-01,KL,KL0409_AMSALA,2012-01-02,4,Q,KZ,BOD - Bordeaux,ALA - Almaty,1
2012-02-01,KL,KL0409_AMSALA,2012-01-02,4,Q,KZ,MUC - Munich,ALA - Almaty,4
2012-02-01,KL,KL0409_AMSALA,2012-01-02,4,Q,KZ,SVG - Stavanger,ALA - Almaty,1
2012-02-01,KL,KL0409_AMSALA,2012-01-02,4,Q,US,LAX - Los Angeles,ALA - Almaty,1
2012-02-01,KL,KL0409_AMSALA,2012-01-02,4,R,CZ,NUE - Nuremberg,ALA - Almaty,2
2012-02-01,KL,KL0409_AMSALA,2012-01-02,4,R,DE,DUS - Duesseldorf,ALA - Almaty,1
2012-02-01,KL,KL0409_AMSALA,2012-01-02,4,R,DE,FRA - Frankfurt,ALA - Almaty,1
2012-02-01,KL,KL0409_AMSALA,2012-01-02,4,R,DE,HAJ - Hannover,ALA - Almaty,1
2012-02-01,KL,KL0409_AMSALA,2012-01-02,4,R,DE,MUC - Munich,ALA - Almaty,2
2012-02-01,KL,KL0409_AMSALA,2012-01-02,4,R,DE,STR - Stuttgart,ALA - Almaty,2
2012-02-01,KL,KL0409_AMSALA,2012-01-02,4,R,GB,EDI - Edinburgh,ALA - Almaty,1
2012-02-01,KL,KL0409_AMSALA,2012-01-02,4,R,GB,LHR - Heathrow,ALA - Almaty,1
2012-02-01,KL,KL0409_AMSALA,2012-01-02,4,R,KZ,CDG - Charles De Gaulle,ALA - Almaty,1
2012-02-01,KL,KL0409_AMSALA,2012-01-02,4,R,KZ,CPH - Copenhagen,ALA - Almaty,2
2012-02-01,KL,KL0409_AMSALA,2012-01-02,4,R,KZ,FCO - Fiumicino,ALA - Almaty,1
2012-02-01,KL,KL0409_AMSALA,2012-01-02,4,R,KZ,LHR - Heathrow,ALA - Almaty,3
2012-02-01,KL,KL0409_AMSALA,2012-01-02,4,R,US,IAH - George Bush,ALA - Almaty,4
2012-02-01,KL,KL0409_AMSALA,2012-01-02,4,R,US,LAX - Los Angeles,ALA - Almaty,1
2012-02-01,KL,KL0409_AMSALA,2012-01-02,4,R,US,PRG - Prague,ALA - Almaty,2
2012-02-01,KL,KL0409_AMSALA,2012-01-02,4,T,GB,ALC - Alicante,ALA - Almaty,1
2012-02-01,KL,KL0409_AMSALA,2012-01-02,4,T,GB,CWL - Cardiff,ALA - Almaty,2
2012-02-01,KL,KL0409_AMSALA,2012-01-02,4,T,KZ,AAL - Aalborg,ALA - Almaty,1
2012-02-01,KL,KL0409_AMSALA,2012-01-02,4,T,KZ,ABZ - Aberdeen,ALA - Almaty,1
2012-02-01,KL,KL0409_AMSALA,2012-01-02,4,T,KZ,AMS - Amsterdam,ALA - Almaty,4
2012-02-01,KL,KL0409_AMSALA,2012-01-02,4,T,KZ,CDG - Charles De Gaulle,ALA - Almaty,6
2012-02-01,KL,KL0409_AMSALA,2012-01-02,4,T,KZ,DTW - Metropolitan Wayne County,ALA - Almaty,1
2012-02-01,KL,KL0409_AMSALA,2012-01-02,4,T,KZ,DUS - Duesseldorf,ALA - Almaty,1
2012-02-01,KL,KL0409_AMSALA,2012-01-02,4,T,KZ,FLR - Florence,ALA - Almaty,1
2012-02-01,KL,KL0409_AMSALA,2012-01-02,4,T,KZ,GLA - Glasgow,ALA - Almaty,3
2012-02-01,KL,KL0409_AMSALA,2012-01-02,4,T,KZ,HEL - Helsinki,ALA - Almaty,1
2012-02-01,KL,KL0409_AMSALA,2012-01-02,4,T,KZ,IAD - Dulles,ALA - Almaty,1
2012-02-01,KL,KL0409_AMSALA,2012-01-02,4,T,KZ,LAX - Los Angeles,ALA - Almaty,2
2012-02-01,KL,KL0409_AMSALA,2012-01-02,4,T,KZ,MAN - Manchester,ALA - Almaty,3
2012-02-01,KL,KL0409_AMSALA,2012-01-02,4,T,KZ,MRS - Marseille,ALA - Almaty,1
2012-02-01,KL,KL0409_AMSALA,2012-01-02,4,T,KZ,TPA - Tampa,ALA - Almaty,1
2012-02-01,KL,KL0409_AMSALA,2012-01-02,4,T,KZ,TXL - Tegel,ALA - Almaty,1
2012-02-01,KL,KL0409_AMSALA,2012-01-02,4,T,KZ,VIE - Vienna,ALA - Almaty,6
2012-02-01,KL,KL0409_AMSALA,2012-01-02,4,T,KZ,ZRH - Zurich,ALA - Almaty,3
2012-02-01,KL,KL0409_AMSALA,2012-01-02,4,T,NL,AMS - Amsterdam,ALA - Almaty,1
2012-02-01,KL,KL0409_AMSALA,2012-01-02,4,T,US,AMS - Amsterdam,ALA - Almaty,4
2012-02-01,KL,KL0409_AMSALA,2012-01-02,4,T,US,IAH - George Bush,AKX - Aktobe,1
2012-02-01,KL,KL0409_AMSALA,2012-01-02,4,T,US,RIC - Richmond,ALA - Almaty,1
2012-02-01,KL,KL0409_AMSALA,2012-01-02,4,T,US,SJU - San Juan,TAS - Vostochny,1
2012-02-01,KL,KL0409_AMSALA,2012-01-02,2,Z,FR,AMS - Amsterdam,AKX - Aktobe,1
2012-02-01,KL,KL0409_AMSALA,2012-01-02,2,Z,KZ,BRU - Brussels,ALA - Almaty,1
2012-02-01,KL,KL0409_AMSALA,2012-01-02,2,Z,KZ,MAN - Manchester,ALA - Almaty,1
2012-02-01,KL,KL0409_AMSALA,2012-01-03,4,B,KZ,IND - Indianapolis,ALA - Almaty,1
2012-02-01,KL,KL0409_AMSALA,2012-01-03,2,C,AW,CUR - Hato,ALA - Almaty,1
2012-02-01,KL,KL0409_AMSALA,2012-01-03,4,H,KZ,CDG - Charles De Gaulle,ALA - Almaty,2
2012-02-01,KL,KL0409_AMSALA,2012-01-03,4,H,KZ,NTE - Nantes,ALA - Almaty,1
2012-02-01,KL,KL0409_AMSALA,2012-01-03,4,H,KZ,NTE - Nantes,PWQ - Pavlodar,2
2012-02-01,KL,KL0409_AMSALA,2012-01-03,4,L,US,MSP - Minneapolis/St Paul,ALA - Almaty,1
2012-02-01,KL,KL0409_AMSALA,2012-01-03,4,N,CA,YUL - Pierre E. Trudeau,ALA - Almaty,1
2012-02-01,KL,KL0409_AMSALA,2012-01-03,4,N,CA,YYZ - Lester B.Pearson,ALA - Almaty,3
2012-02-01,KL,KL0409_AMSALA,2012-01-03,4,N,CH,GVA - Geneva,ALA - Almaty,2
2012-02-01,KL,KL0409_AMSALA,2012-01-03,4,N,KZ,AMS - Amsterdam,ALA - Almaty,2
2012-02-01,KL,KL0409_AMSALA,2012-01-03,4,N,KZ,BCN - Barcelona,ALA - Almaty,1
2012-02-01,KL,KL0409_AMSALA,2012-01-03,4,N,KZ,FCO - Fiumicino,ALA - Almaty,2
2012-02-01,KL,KL0409_AMSALA,2012-01-03,4,N,KZ,LGA - La Guardia,ALA - Almaty,1
2012-02-01,KL,KL0409_AMSALA,2012-01-03,4,N,KZ,PRG - Prague,ALA - Almaty,2
2012-02-01,KL,KL0409_AMSALA,2012-01-03,4,N,KZ,STR - Stuttgart,ALA - Almaty,5
2012-02-01,KL,KL0409_AMSALA,2012-01-03,4,N,KZ,ZRH - Zurich,ALA - Almaty,3
2012-02-01,KL,KL0409_AMSALA,2012-01-03,2,O,KZ,LHR - Heathrow,ALA - Almaty,1
2012-02-01,KL,KL0409_AMSALA,2012-01-03,4,Q,CA,YUL - Pierre E. Trudeau,ALA - Almaty,1
2012-02-01,KL,KL0409_AMSALA,2012-01-03,4,Q,KZ,AMS - Amsterdam,ALA - Almaty,1
2012-02-01,KL,KL0409_AMSALA,2012-01-03,4,Q,KZ,MAN - Manchester,ALA - Almaty,4
2012-02-01,KL,KL0409_AMSALA,2012-01-03,4,Q,US,DTW - Metropolitan Wayne County,ALA - Almaty,1
2012-02-01,KL,KL0409_AMSALA,2012-01-03,4,Q,US,MAD - Madrid,ALA - Almaty,1
2012-02-01,KL,KL0409_AMSALA,2012-01-03,4,Q,US,MIA - Miami,ALA - Almaty,2
2012-02-01,KL,KL0409_AMSALA,2012-01-03,4,R,DE,BRE - Bremen,ALA - Almaty,2
2012-02-01,KL,KL0409_AMSALA,2012-01-03,4,R,DE,CGN - Cologne/Bonn,ALA - Almaty,1
2012-02-01,KL,KL0409_AMSALA,2012-01-03,4,R,DE,FRA - Frankfurt,ALA - Almaty,1
2012-02-01,KL,KL0409_AMSALA,2012-01-03,4,R,DE,HAJ - Hannover,ALA - Almaty,1
2012-02-01,KL,KL0409_AMSALA,2012-01-03,4,R,DE,HAM - Hamburg,ALA - Almaty,1
2012-02-01,KL,KL0409_AMSALA,2012-01-03,4,R,IT,FCO - Fiumicino,ALA - Almaty,1
2012-02-01,KL,KL0409_AMSALA,2012-01-03,4,R,KZ,ABZ - Aberdeen,ALA - Almaty,1
2012-02-01,KL,KL0409_AMSALA,2012-01-03,4,R,KZ,BCN - Barcelona,ALA - Almaty,2
2012-02-01,KL,KL0409_AMSALA,2012-01-03,4,R,KZ,CDG - Charles De Gaulle,ALA - Almaty,8
2012-02-01,KL,KL0409_AMSALA,2012-01-03,4,R,KZ,IAD - Dulles,ALA - Almaty,1
2012-02-01,KL,KL0409_AMSALA,2012-01-03,4,R,KZ,JFK - John F. Kennedy,ALA - Almaty,1
2012-02-01,KL,KL0409_AMSALA,2012-01-03,4,R,KZ,LGA - La Guardia,ALA - Almaty,3
2012-02-01,KL,KL0409_AMSALA,2012-01-03,4,R,KZ,LHR - Heathrow,ALA - Almaty,5
2012-02-01,KL,KL0409_AMSALA,2012-01-03,4,R,KZ,MAN - Manchester,ALA - Almaty,1
2012-02-01,KL,KL0409_AMSALA,2012-01-03,4,R,KZ,YVR - Vancouver,ALA - Almaty,1
2012-02-01,KL,KL0409_AMSALA,2012-01-03,4,T,KZ,ABZ - Aberdeen,ALA - Almaty,1
2012-02-01,KL,KL0409_AMSALA,2012-01-03,4,T,KZ,ABZ - Aberdeen,SCO - Aktau,2
2012-02-01,KL,KL0409_AMSALA,2012-01-03,4,T,KZ,AMS - Amsterdam,ALA - Almaty,7
2012-02-01,KL,KL0409_AMSALA,2012-01-03,4,T,KZ,BCN - Barcelona,ALA - Almaty,1
2012-02-01,KL,KL0409_AMSALA,2012-01-03,4,T,KZ,BHX - Birmingham,ALA - Almaty,1
2012-02-01,KL,KL0409_AMSALA,2012-01-03,4,T,KZ,BRU - Brussels,ALA - Almaty,1
2012-02-01,KL,KL0409_AMSALA,2012-01-03,4,T,KZ,CDG - Charles De Gaulle,ALA - Almaty,4
2012-02-01,KL,KL0409_AMSALA,2012-01-03,4,T,KZ,CGN - Cologne/Bonn,ALA - Almaty,2
2012-02-01,KL,KL0409_AMSALA,2012-01-03,4,T,KZ,EDI - Edinburgh,ALA - Almaty,1
2012-02-01,KL,KL0409_AMSALA,2012-01-03,4,T,KZ,FCO - Fiumicino,ALA - Almaty,1
2012-02-01,KL,KL0409_AMSALA,2012-01-03,4,T,KZ,GVA - Geneva,ALA - Almaty,4
2012-02-01,KL,KL0409_AMSALA,2012-01-03,4,T,KZ,HUY - Humberside,ALA - Almaty,2
